created_at,nombre,siglas,descripcion,id_modulo,id_ciclo
2025-03-11 12:24:31.301724+00,Sistemas operativos monopuesto,SOM,"Se centra en la instalación, configuración y administración de sistemas operativos en equipos individuales, asegurando su correcto funcionamiento.",02617676-b7aa-4b2d-b913-f902097183a7,56951ab9-cc40-421b-84ce-730b167edbfe
2025-03-11 12:24:31.301724+00,Desarrollo Web en Entorno Cliente,DWC,"Se aprende a desarrollar la parte visual y dinámica de las aplicaciones web utilizando HTML, CSS y JavaScript. Se profundiza en frameworks y librerías como React, Vue.js o Angular, así como en la manipulación del DOM y AJAX para mejorar la experiencia del usuario.",0cacc34d-36b1-435b-b51d-318d9c55d21c,36cabd1e-c173-495d-94fc-51bfe6df800d
2025-03-11 12:24:31.301724+00,Sistemas operativos en red,SOR,"Este módulo aborda la instalación y gestión de sistemas operativos diseñados para funcionar en entornos de red, facilitando la comunicación y el intercambio de recursos entre equipos.",0fff16bd-b8bb-4746-b574-29eda9e04d45,56951ab9-cc40-421b-84ce-730b167edbfe
2025-03-11 12:24:31.301724+00,Sistemas informáticos (DAM),SIM,"Se aprende a instalar, configurar y administrar sistemas operativos en entornos de servidor y cliente. Se abordan conceptos de hardware, redes, gestión de usuarios y permisos, virtualización y seguridad informática.",13b0ec2f-2c41-4574-baf5-44c113856983,5f032c9e-08f1-41de-bc4c-19a3ac2827fe
2025-03-11 12:24:31.301724+00,Diseño de Interfaces Web,DIW,"Se trabajan principios de usabilidad, accesibilidad, experiencia de usuario (UX/UI) y diseño responsivo con CSS y frameworks como Bootstrap o Tailwind CSS. Se estudian herramientas de diseño como Figma.",2122f6ea-9294-4e24-87cd-b2e8dbc14e1a,36cabd1e-c173-495d-94fc-51bfe6df800d
2025-03-11 12:24:31.301724+00,Desarrollo de Interfaces,DIN,"Se aprende a diseñar y programar interfaces de usuario intuitivas y funcionales, considerando aspectos de usabilidad y experiencia del usuario (UX).",38039f93-d31d-4e2e-a213-dd3113f282ae,5f032c9e-08f1-41de-bc4c-19a3ac2827fe
2025-03-11 12:24:31.301724+00,Montaje y mantenimiento de equipos,MME,"En este módulo se aprende a ensamblar y mantener equipos informáticos, identificando y solucionando posibles fallos de hardware.",3e0d4355-eca3-4fc4-954b-6342b6a99c9d,56951ab9-cc40-421b-84ce-730b167edbfe
2025-03-11 12:24:31.301724+00,Aplicaciones ofimáticas,AOF,"Se adquieren habilidades en el uso de herramientas ofimáticas, como procesadores de texto, hojas de cálculo y software de presentaciones, esenciales para el entorno empresarial.",451f9f42-25b8-42b5-a2f1-a70fe92563ef,56951ab9-cc40-421b-84ce-730b167edbfe
2025-03-11 12:24:31.301724+00,Programación y motores de videojuegos,PMV,"Se centra en el uso de lenguajes de programación y motores gráficos para el desarrollo de videojuegos. Los estudiantes aprenden a implementar funcionalidades, físicas y lógica de juego, optimizando el rendimiento en diferentes plataformas.",4b93ccc8-e684-4b4f-95d7-6c147c12ff56,a906f924-b287-4acf-a170-f743152c2aa3
2025-03-11 12:24:31.301724+00,Programación de Servicios y Procesos,PSP,"Se estudian técnicas para desarrollar servicios y procesos en segundo plano que permitan a las aplicaciones realizar tareas de manera eficiente, garantizando una adecuada gestión de recursos.",6eda6257-1c5b-4e77-8c8c-64dbeabdba4b,5f032c9e-08f1-41de-bc4c-19a3ac2827fe
